,C-KC443457,C-KC443202,C-KC178781,C-KC443633,C-KC443325,C-KC443765,C-MH170019,C-LC514516,C-LC514505,C-LC514494,C-PX212613,C-KJ721711,C-KU248407,C-KU248396,C-KU199272,C-MW715608,C-MG670699,C-MG670701,C-MG670696,C-LC105582,C-MN479423,C-PP861741,C-OP850468,C-PP861731,B-KC443369,B-KC443224,B-KJ639025,B-KJ639014,B-PX212549,B-OP850475,B-OP850472,B-OP850473,B-OP850470,B-OP850474,B-LC514472,B-LC514483,B-MZ546117,B-KX880419,B-KU550278,B-KU550275,B-KU550277,B-PX212551,B-LC541987,B-LC228328,B-LC228317,B-LC260268,B-MH704723,B-MH704722,B-LC469461,B-LC260266,B-KX880430,B-MH569755,B-LC325465,B-MF997037,B-LC228306,B-LC260272,B-MH569760,B-KU550276,B-KU550274,B-KU870387,B-KU870409,B-MT732500,B-LC386067,B-MT723919,B-MT410497,B-LC066641,B-LC066663,B-LC066652,B-LC169964,B-LC169953,B-LC169942,B-AB975754,B-AB975753,B-AB975725,B-AB975723,B-AB848009,B-LC751490,B-LC751460,B-KY616887,B-MG599526,B-MG599525,B-KU059790,B-MG670685,B-MG670702,B-MG670698,B-KU059779,B-KU059768,B-MG670694,B-LC086727,B-LC086716,A-KU356576,A-MG181889,A-MG181768,A-LC105571,A-KJ752163,A-HQ657140,A-KC443009,A-HQ641357,A-KF716382,A-KF716380,A-KC442965,A-KC442976,A-KC178786,A-KC443347,A-MG181658,A-KR705203,A-KJ721708,A-PX212611,A-OP717289,A-OP717286,A-LC569217,A-LC228372,A-LC228339,A-LC569172,A-LC569200,A-LC477510,A-LC228350,A-KC834705,A-PX212648,A-KJ919519,A-KC443358,A-MN479346,A-MN479342,A-MN479334,A-MN479333,A-MN479287,A-KJ721717,A-KJ721713,A-PX212628,A-LC086804,A-LC086738,A-LC086793,A-LC086782,A-KJ919584,A-PP861743,A-PP861797,A-OP850469,A-KF716374,A-LC169986,A-LC169975
C-PX212613,91.04,91.00,91.16,91.40,91.40,91.40,97.29,97.19,97.27,97.31,,98.74,98.26,98.30,98.38,97.54,97.50,97.54,97.66,97.94,97.82,97.62,97.70,97.70,87.60,87.49,87.25,87.31,87.15,87.13,87.13,87.17,87.17,87.21,87.13,87.25,87.09,87.29,87.25,87.25,87.29,87.41,87.41,87.41,87.37,87.56,87.45,87.45,87.68,87.60,87.60,87.33,87.45,87.41,87.41,87.45,87.52,87.41,87.41,87.29,87.41,87.29,87.29,87.21,87.33,87.52,87.56,87.52,87.41,87.45,87.45,87.42,87.46,87.43,87.60,87.60,87.60,87.60,87.60,87.56,87.60,87.64,87.64,87.60,87.56,87.64,87.60,87.64,87.64,87.64,90.36,87.29,87.21,87.49,87.17,87.43,87.84,87.64,87.84,87.88,87.72,87.84,88.04,87.90,87.45,87.68,87.52,87.41,87.56,87.49,87.33,87.41,87.37,87.37,87.37,87.45,87.45,87.76,87.62,87.64,87.68,87.31,87.35,87.31,87.31,87.31,87.25,87.17,87.68,87.60,87.72,87.72,87.64,87.76,87.29,87.33,87.49,87.29,87.56,87.60
C-KJ721711,91.46,91.42,91.58,91.82,91.82,91.82,97.80,97.60,97.68,97.72,98.74,,98.88,98.92,98.88,98.12,98.08,98.12,98.24,98.48,98.44,98.16,98.24,98.24,87.58,87.47,87.23,87.31,87.13,87.11,87.11,87.15,87.15,87.19,87.03,87.19,87.07,87.35,87.23,87.23,87.27,87.39,87.39,87.39,87.43,87.62,87.43,87.43,87.66,87.58,87.58,87.31,87.43,87.39,87.39,87.43,87.50,87.39,87.39,87.27,87.39,87.27,87.27,87.19,87.31,87.50,87.54,87.50,87.39,87.43,87.43,87.30,87.34,87.31,87.50,87.50,87.50,87.50,87.50,87.54,87.58,87.62,87.62,87.58,87.54,87.62,87.58,87.62,87.62,87.62,90.42,87.27,87.19,87.47,87.15,87.39,88.02,87.58,87.86,87.90,87.90,87.94,88.02,87.94,87.43,87.70,87.54,87.54,87.62,87.54,87.39,87.47,87.43,87.43,87.43,87.50,87.50,87.86,87.68,87.70,87.74,87.35,87.39,87.35,87.35,87.35,87.39,87.31,87.74,87.58,87.70,87.78,87.62,87.74,87.47,87.50,87.66,87.43,87.70,87.74
C-KU248407,91.42,91.38,91.62,91.78,91.78,91.78,98.52,98.28,98.36,98.40,98.26,98.88,,99.80,99.60,98.76,98.80,98.84,98.96,99.20,99.16,98.88,99.04,98.96,87.39,87.27,87.03,87.19,86.93,86.91,87.07,86.95,86.95,86.99,86.83,86.99,86.87,87.07,87.03,87.03,87.07,87.19,87.19,87.19,87.15,87.43,87.23,87.15,87.47,87.39,87.39,87.07,87.19,87.19,87.19,87.23,87.39,87.19,87.19,87.07,87.19,87.15,87.15,87.07,87.19,87.31,87.35,87.31,87.27,87.31,87.31,87.18,87.22,87.19,87.39,87.39,87.39,87.39,87.39,87.35,87.39,87.43,87.43,87.39,87.35,87.43,87.39,87.43,87.43,87.43,90.34,86.99,86.91,87.19,86.87,87.15,87.58,87.35,87.58,87.62,87.54,87.66,87.74,87.66,87.11,87.43,87.35,87.35,87.43,87.35,87.19,87.27,87.23,87.23,87.23,87.31,87.31,87.62,87.49,87.50,87.54,87.07,87.11,87.07,87.07,87.07,87.11,87.03,87.54,87.39,87.50,87.58,87.43,87.54,87.27,87.31,87.47,87.23,87.66,87.70
C-KU248396,91.46,91.42,91.66,91.82,91.82,91.82,98.56,98.32,98.40,98.44,98.30,98.92,99.80,,99.64,98.80,98.84,98.88,99.00,99.24,99.20,98.92,99.00,99.00,87.39,87.27,87.03,87.19,86.93,86.91,87.07,86.95,86.95,86.99,86.83,86.99,86.87,87.07,87.03,87.03,87.07,87.19,87.19,87.19,87.15,87.43,87.23,87.15,87.47,87.39,87.39,87.07,87.19,87.19,87.19,87.23,87.39,87.19,87.19,87.07,87.19,87.15,87.15,87.07,87.19,87.31,87.35,87.31,87.27,87.31,87.31,87.18,87.22,87.19,87.39,87.39,87.39,87.39,87.39,87.35,87.39,87.43,87.43,87.39,87.35,87.43,87.39,87.43,87.43,87.43,90.30,86.99,86.91,87.19,86.87,87.15,87.58,87.31,87.58,87.62,87.54,87.66,87.74,87.66,87.11,87.43,87.35,87.35,87.43,87.35,87.19,87.27,87.23,87.23,87.23,87.31,87.31,87.62,87.49,87.50,87.54,87.07,87.11,87.07,87.07,87.07,87.11,87.03,87.54,87.39,87.50,87.58,87.43,87.54,87.27,87.31,87.47,87.23,87.66,87.70
C-KU199272,91.50,91.46,91.70,91.86,91.86,91.86,98.60,98.36,98.44,98.48,98.38,98.88,99.60,99.64,,98.76,98.80,98.84,98.96,99.20,99.16,98.88,98.96,98.96,87.54,87.43,87.19,87.35,87.09,87.07,87.23,87.11,87.11,87.15,86.99,87.15,87.03,87.23,87.19,87.19,87.23,87.35,87.35,87.35,87.31,87.58,87.39,87.31,87.62,87.54,87.54,87.23,87.35,87.35,87.35,87.39,87.54,87.35,87.35,87.23,87.35,87.31,87.31,87.23,87.35,87.47,87.50,87.47,87.43,87.47,87.47,87.34,87.38,87.35,87.54,87.54,87.47,87.47,87.47,87.50,87.54,87.58,87.58,87.54,87.50,87.58,87.54,87.58,87.58,87.58,90.38,87.15,87.07,87.35,87.03,87.31,87.74,87.47,87.74,87.78,87.70,87.82,87.90,87.82,87.27,87.58,87.50,87.50,87.58,87.50,87.35,87.43,87.39,87.39,87.39,87.47,87.47,87.78,87.64,87.66,87.70,87.23,87.27,87.23,87.23,87.23,87.27,87.19,87.70,87.54,87.66,87.74,87.58,87.70,87.39,87.43,87.58,87.35,87.78,87.82
C-MW715608,91.22,91.18,91.42,91.58,91.58,91.58,97.76,97.52,97.60,97.64,97.54,98.12,98.76,98.80,98.76,,99.64,99.68,99.80,98.84,99.12,98.76,98.84,98.84,87.43,87.31,87.07,87.23,86.97,86.95,87.11,86.99,86.99,87.03,86.87,87.03,86.91,87.11,87.07,87.07,87.11,87.23,87.23,87.23,87.19,87.47,87.35,87.19,87.50,87.43,87.43,87.11,87.23,87.23,87.23,87.27,87.43,87.23,87.23,87.11,87.23,87.19,87.19,87.11,87.23,87.35,87.39,87.35,87.31,87.35,87.35,87.22,87.26,87.23,87.43,87.43,87.43,87.43,87.43,87.39,87.43,87.47,87.47,87.43,87.39,87.47,87.43,87.47,87.47,87.47,90.06,87.11,87.03,87.31,86.99,87.23,87.47,87.39,87.54,87.58,87.43,87.62,87.78,87.70,87.15,87.47,87.39,87.39,87.47,87.39,87.23,87.31,87.27,87.27,87.27,87.35,87.35,87.66,87.52,87.54,87.58,87.11,87.15,87.11,87.11,87.11,87.15,87.07,87.58,87.43,87.54,87.62,87.47,87.58,87.31,87.35,87.50,87.27,87.70,87.74
C-MG670699,91.10,91.06,91.30,91.46,91.46,91.46,97.80,97.56,97.64,97.68,97.50,98.08,98.80,98.84,98.80,99.64,,99.80,99.84,98.88,99.16,98.80,98.88,98.88,87.27,87.15,86.91,87.07,86.81,86.79,86.95,86.83,86.83,86.87,86.71,86.87,86.75,86.95,86.91,86.91,86.95,87.15,87.07,87.07,87.03,87.31,87.19,87.03,87.35,87.27,87.27,86.95,87.07,87.07,87.07,87.11,87.27,87.07,87.07,86.95,87.07,87.03,87.03,86.95,87.07,87.19,87.23,87.19,87.15,87.19,87.19,87.06,87.10,87.06,87.27,87.27,87.27,87.27,87.27,87.23,87.27,87.31,87.31,87.27,87.23,87.31,87.27,87.31,87.31,87.31,89.98,86.95,86.87,87.15,86.83,87.07,87.31,87.15,87.39,87.43,87.27,87.47,87.62,87.54,86.99,87.31,87.23,87.23,87.31,87.23,87.07,87.15,87.11,87.11,87.11,87.19,87.19,87.50,87.37,87.39,87.43,86.95,86.99,86.95,86.95,86.95,86.99,86.91,87.50,87.35,87.47,87.54,87.39,87.50,87.23,87.27,87.43,87.19,87.62,87.66
C-MG670701,91.14,91.10,91.34,91.50,91.50,91.50,97.84,97.60,97.68,97.72,97.54,98.12,98.84,98.88,98.84,99.68,99.80,,99.88,98.92,99.20,98.84,98.92,98.92,87.31,87.19,86.95,87.11,86.85,86.83,86.99,86.87,86.87,86.91,86.75,86.91,86.79,86.99,86.95,86.95,86.99,87.19,87.11,87.11,87.07,87.35,87.23,87.07,87.39,87.31,87.31,86.99,87.11,87.11,87.11,87.15,87.31,87.11,87.11,86.99,87.11,87.07,87.07,87.07,87.11,87.23,87.27,87.23,87.19,87.23,87.23,87.10,87.14,87.10,87.31,87.31,87.31,87.31,87.31,87.27,87.31,87.35,87.35,87.31,87.27,87.35,87.31,87.35,87.35,87.35,90.02,87.07,86.99,87.27,86.95,87.11,87.35,87.19,87.43,87.47,87.39,87.50,87.66,87.58,87.03,87.27,87.27,87.27,87.35,87.27,87.11,87.19,87.15,87.15,87.15,87.23,87.23,87.54,87.41,87.43,87.47,86.99,87.03,86.99,86.99,86.99,87.03,86.95,87.47,87.31,87.43,87.50,87.35,87.47,87.19,87.23,87.39,87.15,87.58,87.62
C-MG670696,91.26,91.22,91.46,91.62,91.62,91.62,97.96,97.72,97.80,97.84,97.66,98.24,98.96,99.00,98.96,99.80,99.84,99.88,,99.04,99.32,98.96,99.04,99.04,87.43,87.31,87.07,87.23,86.97,86.95,87.11,86.99,86.99,87.03,86.87,87.03,86.91,87.11,87.07,87.07,87.11,87.23,87.23,87.23,87.19,87.47,87.35,87.19,87.50,87.43,87.43,87.11,87.23,87.23,87.23,87.27,87.43,87.23,87.23,87.11,87.23,87.19,87.19,87.11,87.23,87.35,87.39,87.35,87.31,87.35,87.35,87.22,87.26,87.23,87.43,87.43,87.43,87.43,87.43,87.39,87.43,87.47,87.47,87.43,87.39,87.47,87.43,87.47,87.47,87.47,90.14,87.11,87.03,87.31,86.99,87.23,87.47,87.31,87.54,87.58,87.43,87.62,87.78,87.70,87.15,87.39,87.31,87.39,87.47,87.39,87.23,87.31,87.27,87.27,87.27,87.35,87.35,87.66,87.52,87.54,87.58,87.11,87.15,87.11,87.11,87.11,87.15,87.07,87.58,87.43,87.54,87.62,87.47,87.58,87.31,87.35,87.50,87.27,87.70,87.74
C-LC105582,91.26,91.22,91.42,91.58,91.58,91.58,98.20,97.96,98.04,98.08,97.94,98.48,99.20,99.24,99.20,98.84,98.88,98.92,99.04,,99.24,98.88,98.96,98.96,87.66,87.54,87.31,87.47,87.21,87.19,87.35,87.23,87.23,87.27,87.11,87.27,87.15,87.27,87.31,87.31,87.35,87.47,87.47,87.47,87.43,87.70,87.50,87.43,87.74,87.66,87.66,87.35,87.47,87.47,87.47,87.50,87.66,87.47,87.47,87.35,87.47,87.43,87.43,87.35,87.47,87.58,87.62,87.58,87.54,87.58,87.58,87.46,87.51,87.47,87.66,87.66,87.66,87.66,87.66,87.62,87.66,87.78,87.78,87.74,87.70,87.78,87.74,87.78,87.78,87.78,90.30,87.27,87.19,87.23,86.99,87.47,87.70,87.54,87.78,87.82,87.58,87.86,87.94,87.78,87.31,87.62,87.54,87.54,87.62,87.54,87.39,87.47,87.43,87.43,87.43,87.50,87.50,87.82,87.68,87.70,87.74,87.27,87.31,87.27,87.27,87.27,87.31,87.23,87.74,87.58,87.70,87.78,87.62,87.74,87.47,87.50,87.66,87.43,87.86,87.90
C-MN479423,91.22,91.18,91.42,91.58,91.58,91.58,98.16,97.92,98.00,98.04,97.82,98.44,99.16,99.20,99.16,99.12,99.16,99.20,99.32,99.24,,99.56,99.64,99.64,87.39,87.27,87.03,87.19,86.93,86.91,87.07,86.95,86.95,86.99,86.83,86.99,86.87,87.07,87.03,87.03,87.07,87.19,87.19,87.19,87.15,87.43,87.23,87.15,87.47,87.39,87.39,87.15,87.19,87.19,87.19,87.23,87.39,87.19,87.19,87.07,87.19,87.15,87.15,87.07,87.19,87.31,87.35,87.31,87.27,87.31,87.31,87.18,87.22,87.19,87.39,87.39,87.39,87.39,87.39,87.35,87.39,87.43,87.43,87.39,87.35,87.43,87.39,87.43,87.43,87.43,90.18,87.07,86.99,87.27,86.95,87.19,87.50,87.35,87.58,87.62,87.47,87.66,87.74,87.74,87.11,87.43,87.35,87.35,87.43,87.35,87.19,87.27,87.23,87.23,87.31,87.31,87.31,87.62,87.49,87.50,87.54,87.07,87.11,87.07,87.07,87.07,87.11,87.03,87.54,87.39,87.50,87.58,87.43,87.54,87.27,87.31,87.47,87.23,87.66,87.70
