,A-MT633431,B-JX195088,B-EF990707,B-JF490651,B-KJ753438,B-KT988208,B-JF490916,B-LC228384,B-KF371984,B-OP850489,B-PP861406,B-OP850491,B-JN706531,B-JQ837878,B-MT732501,B-LC386068,B-MZ066016,B-KJ752983,B-JN258371,B-MT410498,B-JN706530,B-MT723920,B-LC066642,B-LC086761,B-KX362878,B-LC086750,B-LC169965,B-LC169954,B-LC169943,B-LC086739,B-LC066664,B-LC066653,B-PX211305,B-MH704725,B-LC325461,B-LC260222,B-KX880426,B-MG652356,B-MG652352,B-MG652355,B-LC541983,B-LC228329,B-LC228318,B-KU059791,B-KU059769,B-KU059780,B-MG652348,B-MG652339,B-LC086728,B-LC086717,B-PX211226,B-OP850488,B-OP850487,B-OP850486,B-OP850485,B-OP850483,B-LC514495,B-LC514473,B-PX211228,B-MH704724,B-LC228307,B-MF997038,B-MW715609,B-KU550282,B-KU550280,B-KU870388,B-KU870410,B-KX880415,B-MZ546113,B-LC514484,B-KU550284,B-KU550283,B-KU550281,B-MH569766,B-MH569765,B-LC260228,B-MG599530,B-MG599529,B-LC430887,B-AB975550,B-AB975549,B-AB975466,B-AB975472,B-KY616888,B-AB848005,B-LC751042,B-LC751012,B-MG181659,A-EF672598,B-MZ027446,B-MZ027424,A-MG652331,A-KJ919614,A-MG652329,A-JX185761,A-KJ919638,A-LC172601,A-LC172588,A-HM773681,A-HM773670,A-MT633446,A-MT633444,A-JX027953,A-JX027940,A-KP007147,A-KF371691,A-JQ069692,A-JQ069688,A-JX027865,A-PX211314,A-LC430884,A-LC430883,A-OR205278,A-OR205276,A-KJ919698,A-MH171357,A-PX211248,A-OP850492,A-ON791868,A-OR205289,A-MG652342,A-MN478658
B-PP861406,97.39,97.52,97.79,97.66,97.35,97.48,97.61,98.22,99.09,99.57,,99.83,97.92,98.09,97.74,97.61,97.70,97.92,98.26,97.70,97.92,97.74,97.79,97.96,97.87,97.96,97.83,97.79,97.79,97.87,97.96,97.92,96.87,97.39,97.48,97.57,97.57,97.57,97.57,97.61,97.61,97.61,97.57,97.70,97.70,97.66,97.66,97.70,97.70,97.70,97.04,96.96,97.00,97.05,97.05,97.05,97.18,97.26,97.10,97.52,97.52,97.44,97.35,97.48,97.52,97.44,97.44,97.42,97.43,97.44,97.48,97.48,97.48,97.52,97.44,97.39,97.63,97.70,97.66,97.79,97.79,97.87,97.83,97.87,97.87,97.83,97.79,94.79,94.31,96.87,96.83,95.57,95.74,95.44,95.70,95.57,96.27,96.27,96.74,96.74,96.05,96.44,96.53,96.57,96.40,96.61,96.40,96.48,96.33,94.83,95.87,95.79,96.01,95.96,96.35,95.92,95.13,95.70,95.87,96.22,95.79,96.14
B-OP850491,97.48,97.70,97.87,97.74,97.44,97.57,97.70,98.22,99.17,99.65,99.83,,98.00,98.18,97.83,97.70,97.79,98.00,98.35,97.79,98.00,97.83,97.87,98.05,97.96,98.05,97.92,97.87,97.87,97.96,98.05,98.00,97.02,97.48,97.57,97.66,97.66,97.66,97.66,97.70,97.70,97.70,97.66,97.79,97.79,97.74,97.74,97.79,97.79,97.79,97.20,97.05,97.09,97.13,97.13,97.13,97.26,97.35,97.26,97.61,97.61,97.52,97.44,97.57,97.61,97.52,97.52,97.50,97.52,97.52,97.57,97.57,97.57,97.61,97.52,97.48,97.72,97.79,97.74,97.87,97.87,97.96,97.92,97.96,97.96,97.92,97.87,94.88,94.49,96.96,96.92,95.74,95.92,95.61,95.87,95.74,96.35,96.35,96.83,96.83,96.05,96.44,96.61,96.66,96.48,96.70,96.48,96.57,96.33,94.88,95.96,95.87,96.09,96.05,96.44,96.01,95.18,95.79,95.96,96.31,95.87,96.22
B-JN706531,98.18,98.13,98.39,98.35,98.09,98.26,98.39,98.39,98.74,97.92,97.92,98.00,,99.22,99.04,98.91,99.17,99.22,99.31,99.09,99.48,99.13,99.26,99.44,99.35,99.35,99.22,99.17,99.17,99.35,99.44,99.39,97.75,98.52,98.61,98.70,98.70,98.70,98.70,98.74,98.74,98.74,98.70,98.83,98.83,98.78,98.78,98.83,98.83,98.83,97.93,98.09,98.13,98.18,98.18,98.18,98.31,98.31,97.94,98.65,98.65,98.57,98.48,98.61,98.65,98.57,98.57,98.55,98.56,98.57,98.61,98.61,98.61,98.65,98.57,98.52,98.76,98.83,98.78,98.83,98.83,98.83,98.87,98.91,98.91,98.87,98.83,95.09,94.79,97.48,97.44,96.14,96.31,96.01,96.27,96.14,96.87,96.87,97.35,97.35,96.74,96.96,97.05,97.09,97.00,97.22,97.00,97.09,96.90,95.45,96.66,96.57,96.61,96.57,96.96,96.61,95.81,96.40,96.57,96.92,96.48,96.83
B-JQ837878,98.18,98.31,98.57,98.44,98.18,98.35,98.48,98.65,98.91,98.09,98.09,98.18,99.22,,99.13,99.00,99.17,99.52,99.74,99.17,99.39,99.22,99.35,99.44,99.44,99.52,99.39,99.35,99.35,99.44,99.52,99.48,98.22,98.87,99.04,99.13,99.13,99.13,99.13,99.17,99.09,99.09,99.04,99.26,99.26,99.22,99.22,99.26,99.26,99.26,98.41,98.52,98.57,98.61,98.61,98.61,98.74,98.74,98.41,99.09,99.09,99.00,98.91,99.04,99.09,99.00,99.00,98.98,99.00,99.00,99.04,99.04,99.04,99.09,99.00,98.87,99.20,99.26,99.22,99.26,99.26,99.26,99.31,99.35,99.35,99.31,99.26,95.44,94.79,97.57,97.52,96.22,96.40,96.09,96.35,96.22,96.87,96.87,97.35,97.35,96.74,96.96,97.13,97.18,97.00,97.22,97.00,97.09,96.90,95.40,96.57,96.48,96.61,96.57,96.96,96.61,95.75,96.31,96.57,96.92,96.48,96.83
B-MT732501,97.74,97.79,98.05,98.00,97.70,97.83,97.96,98.22,98.48,97.74,97.74,97.83,99.04,99.13,,99.87,99.17,99.13,99.22,99.61,99.31,99.39,99.44,99.44,99.44,99.44,99.39,99.35,99.35,99.52,99.61,99.57,97.86,98.44,98.61,98.70,98.70,98.70,98.70,98.74,98.65,98.65,98.61,98.83,98.83,98.78,98.78,98.83,98.83,98.83,97.99,98.18,98.22,98.26,98.26,98.26,98.31,98.31,97.99,98.65,98.65,98.57,98.57,98.61,98.65,98.48,98.57,98.55,98.61,98.57,98.61,98.61,98.61,98.65,98.57,98.44,98.76,98.78,98.78,98.83,98.83,98.83,98.87,98.91,98.91,98.87,98.83,95.09,94.62,97.31,97.26,95.79,95.96,95.66,95.92,95.79,96.53,96.53,96.92,96.92,96.31,96.61,96.79,96.74,96.57,96.79,96.57,96.66,96.59,95.04,96.22,96.14,96.18,96.14,96.53,96.18,95.39,95.96,96.14,96.48,96.05,96.40
B-LC386068,97.61,97.74,97.92,97.87,97.66,97.79,97.92,98.09,98.35,97.61,97.61,97.70,98.91,99.00,99.87,,99.04,99.00,99.09,99.48,99.17,99.26,99.31,99.31,99.31,99.31,99.26,99.22,99.22,99.39,99.48,99.44,97.81,98.39,98.57,98.65,98.65,98.57,98.57,98.61,98.61,98.61,98.57,98.78,98.78,98.74,98.74,98.78,98.78,98.78,97.93,98.13,98.18,98.22,98.22,98.22,98.26,98.26,97.94,98.61,98.61,98.52,98.52,98.57,98.61,98.44,98.52,98.50,98.56,98.52,98.57,98.57,98.57,98.61,98.52,98.39,98.68,98.70,98.83,98.78,98.78,98.78,98.83,98.87,98.87,98.83,98.78,94.96,94.49,97.18,97.13,95.74,95.92,95.61,95.87,95.74,96.40,96.40,96.79,96.79,96.18,96.48,96.66,96.61,96.44,96.66,96.44,96.53,96.55,94.88,96.09,96.01,96.05,96.01,96.40,96.05,95.23,95.83,96.01,96.35,95.92,96.27
B-MZ066016,97.79,97.92,98.09,98.05,97.70,97.87,98.00,98.35,98.52,97.70,97.70,97.79,99.17,99.17,99.17,99.04,,99.17,99.26,99.22,99.44,99.26,99.39,99.57,99.57,99.48,99.35,99.31,99.31,99.48,99.57,99.52,97.81,98.48,98.57,98.65,98.65,98.65,98.65,98.70,98.70,98.70,98.65,98.78,98.78,98.74,98.74,98.78,98.78,98.78,98.09,98.13,98.18,98.22,98.22,98.22,98.35,98.35,97.99,98.61,98.61,98.52,98.44,98.57,98.61,98.52,98.52,98.59,98.56,98.52,98.57,98.57,98.57,98.61,98.52,98.48,98.72,98.78,98.74,98.78,98.78,98.78,98.83,98.87,98.87,98.83,98.78,95.22,94.49,97.44,97.39,95.74,95.92,95.61,95.87,95.74,96.57,96.57,96.96,96.96,96.44,96.66,96.83,96.79,96.70,96.92,96.70,96.79,96.50,95.09,96.27,96.18,96.22,96.18,96.57,96.22,95.44,96.01,96.18,96.53,96.09,96.44
B-KJ752983,98.00,98.13,98.48,98.26,98.00,98.18,98.31,98.48,98.74,97.92,97.92,98.00,99.22,99.52,99.13,99.00,99.17,,99.57,99.17,99.39,99.31,99.35,99.44,99.44,99.52,99.39,99.35,99.35,99.44,99.52,99.48,98.07,98.70,98.87,98.96,98.96,98.96,98.96,99.00,98.91,98.91,98.87,99.09,99.09,99.04,99.04,99.09,99.09,99.09,98.25,98.35,98.39,98.44,98.44,98.44,98.65,98.57,98.25,98.91,98.91,98.83,98.74,98.87,98.91,98.83,98.83,98.81,98.82,98.83,98.87,98.87,98.87,98.91,98.91,98.70,99.02,99.09,99.04,99.09,99.09,99.09,99.13,99.17,99.17,99.13,99.09,95.27,94.70,97.39,97.35,96.05,96.22,95.92,96.18,96.05,96.70,96.70,97.18,97.18,96.57,96.79,96.96,97.00,96.83,97.05,96.83,96.92,96.72,95.25,96.40,96.31,96.44,96.40,96.79,96.44,95.60,96.22,96.40,96.74,96.31,96.66
B-JN258371,98.35,98.48,98.74,98.61,98.35,98.52,98.65,98.83,99.09,98.26,98.26,98.35,99.31,99.74,99.22,99.09,99.26,99.57,,99.26,99.48,99.31,99.44,99.52,99.52,99.61,99.48,99.44,99.44,99.52,99.61,99.57,98.28,99.04,99.13,99.22,99.22,99.22,99.22,99.26,99.17,99.17,99.13,99.35,99.35,99.31,99.31,99.35,99.35,99.35,98.51,98.61,98.65,98.70,98.70,98.70,98.83,98.83,98.51,99.17,99.17,99.09,99.00,99.13,99.17,99.09,99.09,99.07,99.09,99.09,99.13,99.13,99.13,99.17,99.09,98.96,99.28,99.35,99.31,99.35,99.35,99.44,99.39,99.44,99.44,99.39,99.35,95.61,94.88,97.74,97.70,96.31,96.48,96.18,96.44,96.31,97.05,97.05,97.52,97.52,96.92,97.13,97.31,97.35,97.18,97.39,97.18,97.26,97.16,95.56,96.74,96.66,96.79,96.74,97.13,96.79,95.91,96.48,96.74,97.09,96.66,97.00
B-MT410498,97.79,97.83,98.09,98.05,97.70,97.87,98.00,98.26,98.44,97.70,97.70,97.79,99.09,99.17,99.61,99.48,99.22,99.17,99.26,,99.35,99.44,99.48,99.48,99.48,99.48,99.44,99.39,99.39,99.57,99.65,99.61,97.75,98.39,98.57,98.65,98.65,98.65,98.65,98.70,98.61,98.61,98.57,98.78,98.78,98.83,98.74,98.78,98.78,98.78,97.93,98.13,98.18,98.22,98.22,98.22,98.26,98.26,97.94,98.61,98.61,98.52,98.52,98.57,98.61,98.52,98.52,98.50,98.56,98.52,98.57,98.57,98.57,98.61,98.52,98.39,98.72,98.78,98.74,98.78,98.78,98.78,98.83,98.87,98.87,98.83,98.78,95.05,94.66,97.18,97.13,95.92,96.09,95.79,96.05,95.92,96.66,96.66,97.05,97.05,96.35,96.66,96.83,96.79,96.61,96.83,96.61,96.70,96.59,95.04,96.27,96.18,96.22,96.18,96.57,96.22,95.39,96.01,96.18,96.53,96.18,96.44
B-JN706530,98.09,98.05,98.31,98.18,97.92,98.09,98.22,98.39,98.74,97.92,97.92,98.00,99.48,99.39,99.31,99.17,99.44,99.39,99.48,99.35,,99.39,99.52,99.70,99.61,99.61,99.48,99.44,99.44,99.61,99.70,99.65,97.96,98.61,98.78,98.87,98.87,98.87,98.87,98.91,98.83,98.83,98.78,99.00,99.00,98.96,98.96,99.00,99.00,99.00,98.14,98.26,98.31,98.35,98.35,98.35,98.48,98.48,98.15,98.83,98.83,98.74,98.65,98.78,98.83,98.74,98.74,98.72,98.74,98.74,98.78,98.78,98.78,98.83,98.74,98.61,98.94,99.00,98.96,99.00,99.00,99.00,99.04,99.09,99.09,99.04,99.00,95.27,94.62,97.39,97.35,96.05,96.22,95.92,96.18,96.05,96.79,96.79,97.26,97.26,96.66,96.87,96.96,97.00,96.92,97.13,96.92,97.00,96.81,95.35,96.57,96.48,96.53,96.48,96.87,96.53,95.70,96.31,96.48,96.83,96.40,96.74
B-MT723920,97.83,97.87,98.22,98.09,97.74,97.92,98.05,98.31,98.48,97.74,97.74,97.83,99.13,99.22,99.39,99.26,99.26,99.31,99.31,99.44,99.39,,99.52,99.52,99.52,99.52,99.48,99.44,99.44,99.61,99.70,99.65,97.86,98.44,98.61,98.70,98.70,98.70,98.70,98.74,98.65,98.65,98.61,98.83,98.83,98.78,98.78,98.83,98.83,98.83,98.04,98.09,98.13,98.18,98.18,98.18,98.31,98.31,98.04,98.65,98.65,98.57,98.48,98.61,98.65,98.57,98.57,98.55,98.61,98.57,98.61,98.61,98.61,98.65,98.65,98.44,98.76,98.83,98.78,98.83,98.83,98.83,98.87,98.91,98.91,98.87,98.83,95.01,94.53,97.22,97.18,95.79,95.96,95.66,95.92,95.79,96.61,96.61,97.00,97.00,96.40,96.70,96.79,96.74,96.66,96.87,96.66,96.74,96.55,95.14,96.31,96.22,96.27,96.22,96.61,96.27,95.49,96.05,96.22,96.57,96.14,96.48
B-LC066642,97.96,98.00,98.26,98.22,97.87,98.05,98.18,98.44,98.61,97.79,97.79,97.87,99.26,99.35,99.44,99.31,99.39,99.35,99.44,99.48,99.52,99.52,,99.65,99.65,99.65,99.61,99.57,99.57,99.74,99.83,99.78,97.96,98.57,98.74,98.83,98.83,98.83,98.83,98.87,98.78,98.78,98.74,98.96,98.96,98.91,98.91,98.96,98.96,98.96,98.14,98.31,98.35,98.39,98.39,98.39,98.52,98.52,98.15,98.78,98.78,98.70,98.61,98.74,98.78,98.70,98.70,98.76,98.82,98.78,98.83,98.83,98.83,98.78,98.70,98.57,98.89,98.96,98.91,98.96,98.96,98.96,99.00,99.04,99.04,99.00,98.96,95.14,94.57,97.35,97.31,95.92,96.09,95.79,96.05,95.92,96.74,96.74,97.13,97.13,96.53,96.74,96.92,96.87,96.79,97.00,96.79,96.87,96.68,95.25,96.44,96.35,96.40,96.35,96.74,96.40,95.60,96.18,96.35,96.70,96.27,96.61
B-LC086761,98.05,98.09,98.35,98.31,97.96,98.13,98.26,98.52,98.78,97.96,97.96,98.05,99.44,99.44,99.44,99.31,99.57,99.44,99.52,99.48,99.70,99.52,99.65,,99.74,99.74,99.70,99.65,99.65,99.83,99.83,99.78,98.07,98.65,98.83,98.91,98.91,98.91,98.91,98.96,98.87,98.87,98.83,99.04,99.04,99.00,99.00,99.04,99.04,99.04,98.25,98.31,98.35,98.39,98.39,98.39,98.52,98.52,98.25,98.87,98.87,98.78,98.70,98.83,98.87,98.78,98.78,98.76,98.82,98.78,98.83,98.83,98.83,98.87,98.78,98.65,98.98,99.04,99.00,99.04,99.04,99.04,99.09,99.13,99.13,99.09,99.04,95.22,94.66,97.52,97.48,96.01,96.18,95.87,96.14,96.01,96.74,96.74,97.22,97.22,96.61,96.83,97.00,96.96,96.87,97.09,96.87,96.96,96.77,95.35,96.53,96.44,96.48,96.44,96.83,96.48,95.70,96.27,96.44,96.79,96.35,96.70
