,B-LC386074,B-MT732496,B-MT410493,B-MT723915,B-LC169971,B-LC169960,B-LC169949,B-KF716428,B-KF716425,B-PX212177,B-LC514501,B-LC514512,B-PP862071,B-PP862125,B-OP850417,B-LC514523,B-LC086800,B-LC086789,B-LC086745,B-PX212192,B-LC086811,B-KJ919165,B-LC169993,B-LC169982,B-KC442972,B-LC105586,B-MH182464,B-KC442961,B-KU248414,B-KU248403,B-KC443453,B-KC443198,B-KC178750,B-PP862069,B-OP850416,B-PP862059,B-KC443761,B-KC443629,B-KC443321,B-KC178745,B-LC066670,B-LC066659,B-LC066648,B-MG573370,B-MG573369,B-AB848013,B-LC751938,B-LC751908,B-KY616894,B-AB975925,B-AB975954,B-AB975953,B-AB975923,B-OP850423,B-OP850418,B-OP850422,B-OP850421,B-OP850420,B-PX212113,B-LC514479,B-MZ546121,B-LC514490,B-MH704739,B-MF997044,B-LC228335,B-LC228324,B-LC541991,B-KU870416,B-KU870394,B-KU550318,B-KU550316,B-MH520744,B-LC260316,B-LC228313,B-MH704738,B-PX212115,B-MH520742,B-LC325469,B-KX880423,B-KU550320,B-KU550319,B-KU550317,A-KU199279,A-KC443365,A-KC443220,A-KF716431,A-KJ721745,A-MN479978,A-MN479974,A-MN479966,A-MN479965,A-MN479919,A-KJ721749,A-KC834668,A-PX212212,A-KJ919099,A-KC443354,A-HQ657136,A-KC443005,A-KU356583,A-HQ641362,A-KJ721741,A-KC443343,A-KR705199,B-MN480055,B-MW715615,B-MG701196,B-MG701193,A-KJ752159,A-LC260312,A-LC260310,A-KX880434,A-LC086734,A-LC086723,A-KJ639032,A-KJ639021,A-MG701199,A-MG701191,A-MG701195,A-LC469575,A-KU059797,A-KU059786,A-KU059775,A-MG701198,A-MG701182,A-LC105575,A-PX212175,A-LC569412,A-LC228346,A-LC477630,A-LC228379,A-LC228357,A-LC569457,A-LC569440,A-KJ721750,A-OP717989,A-OP717986,A-MG181665,A-MG181896,A-MG181775
B-LC514501,94.52,94.52,93.95,94.33,94.52,94.52,94.52,97.92,97.92,99.81,,100.00,99.81,99.81,100.00,100.00,99.43,99.43,99.43,99.24,99.43,99.43,97.16,97.16,97.73,98.49,97.35,98.68,98.68,98.68,98.30,98.30,98.68,98.68,98.68,98.68,98.68,98.68,98.68,98.87,98.11,98.11,98.11,98.11,98.11,97.73,97.54,97.54,97.54,97.54,97.73,97.73,97.73,96.98,96.98,97.16,97.16,97.16,97.06,97.35,97.73,97.54,97.73,97.54,97.35,97.16,97.35,97.54,97.54,97.73,97.54,97.35,97.54,97.54,97.73,97.82,98.11,97.92,98.11,98.11,98.11,98.11,85.82,89.41,89.60,89.39,89.22,89.20,89.20,89.20,89.20,89.20,89.22,90.17,90.06,89.96,90.17,89.60,89.41,89.79,89.79,89.60,89.98,89.98,93.18,91.87,92.23,92.23,87.90,87.90,87.90,87.90,88.09,88.09,88.09,88.09,88.45,88.45,88.07,88.28,88.28,88.28,88.28,88.26,88.26,88.28,89.68,89.60,89.60,89.60,89.60,89.41,89.60,89.60,90.17,89.98,89.98,90.17,90.17,89.98
B-LC514512,94.52,94.52,93.95,94.33,94.52,94.52,94.52,97.92,97.92,99.81,100.00,,99.81,99.81,100.00,100.00,99.43,99.43,99.43,99.24,99.43,99.43,97.16,97.16,97.73,98.49,97.35,98.68,98.68,98.68,98.30,98.30,98.68,98.68,98.68,98.68,98.68,98.68,98.68,98.87,98.11,98.11,98.11,98.11,98.11,97.73,97.54,97.54,97.54,97.54,97.73,97.73,97.73,96.98,96.98,97.16,97.16,97.16,97.06,97.35,97.73,97.54,97.73,97.54,97.35,97.16,97.35,97.54,97.54,97.73,97.54,97.35,97.54,97.54,97.73,97.82,98.11,97.92,98.11,98.11,98.11,98.11,85.82,89.41,89.60,89.39,89.22,89.20,89.20,89.20,89.20,89.20,89.22,90.17,90.06,89.96,90.17,89.60,89.41,89.79,89.79,89.60,89.98,89.98,93.18,91.87,92.23,92.23,87.90,87.90,87.90,87.90,88.09,88.09,88.09,88.09,88.45,88.45,88.07,88.28,88.28,88.28,88.28,88.26,88.26,88.28,89.68,89.60,89.60,89.60,89.60,89.41,89.60,89.60,90.17,89.98,89.98,90.17,90.17,89.98
B-PP862071,94.33,94.33,93.76,94.14,94.33,94.33,94.33,97.73,97.73,99.62,99.81,99.81,,99.62,99.81,99.81,99.24,99.24,99.24,99.05,99.24,99.24,96.98,96.98,97.54,98.30,97.16,98.49,98.49,98.49,98.11,98.11,98.49,98.49,98.49,98.49,98.49,98.49,98.49,98.68,97.92,97.92,97.92,97.92,97.92,97.54,97.35,97.35,97.35,97.35,97.54,97.54,97.54,96.79,96.79,96.98,96.98,96.98,96.88,97.16,97.54,97.35,97.54,97.35,97.16,96.98,97.16,97.35,97.35,97.54,97.35,97.16,97.35,97.35,97.54,97.63,97.92,97.73,97.92,97.92,97.92,97.92,85.63,89.22,89.41,89.20,89.04,89.02,89.02,89.02,89.02,89.02,89.04,89.98,89.87,89.77,89.98,89.41,89.60,89.60,89.60,89.41,89.79,89.74,92.99,91.68,92.05,92.05,87.71,87.71,87.71,87.71,87.90,87.90,87.90,87.90,88.26,88.26,87.88,88.09,88.09,88.09,88.09,88.07,88.07,88.09,89.49,89.41,89.41,89.41,89.41,89.22,89.41,89.41,89.98,89.79,89.79,89.98,89.98,89.79
B-PP862125,94.33,94.33,93.76,94.14,94.33,94.33,94.33,97.73,97.73,99.62,99.81,99.81,99.62,,99.81,99.81,99.24,99.24,99.24,99.05,99.24,99.24,96.98,96.98,97.54,98.30,97.16,98.49,98.49,98.49,98.11,98.11,98.87,98.49,98.49,98.49,98.49,98.49,98.49,98.68,97.92,97.92,97.92,97.92,97.92,97.54,97.35,97.35,97.35,97.35,97.54,97.54,97.54,96.79,96.79,96.98,96.98,96.98,96.88,97.16,97.54,97.35,97.54,97.35,97.16,96.98,97.16,97.35,97.35,97.54,97.35,97.16,97.35,97.35,97.54,97.63,97.92,97.73,97.92,97.92,97.92,97.92,85.63,89.60,89.79,89.58,89.41,89.39,89.39,89.39,89.39,89.39,89.41,90.36,90.25,90.15,90.36,89.79,89.60,89.98,89.98,89.79,90.17,90.21,92.99,92.06,92.05,92.05,87.71,87.71,87.71,87.71,87.90,87.90,87.90,87.90,88.26,88.26,87.88,88.09,88.09,88.09,88.09,88.07,88.07,88.09,89.49,89.41,89.41,89.41,89.41,89.22,89.41,89.41,89.98,89.79,89.79,89.98,89.98,89.79
B-OP850417,94.52,94.52,93.95,94.33,94.52,94.52,94.52,97.92,97.92,99.81,100.00,100.00,99.81,99.81,,100.00,99.43,99.43,99.43,99.24,99.43,99.43,97.16,97.16,97.73,98.49,97.35,98.68,98.68,98.68,98.30,98.30,98.68,98.68,98.68,98.68,98.68,98.68,98.68,98.87,98.11,98.11,98.11,98.11,98.11,97.73,97.54,97.54,97.54,97.54,97.73,97.73,97.73,96.98,96.98,97.16,97.16,97.16,97.06,97.35,97.73,97.54,97.73,97.54,97.35,97.16,97.35,97.54,97.54,97.73,97.54,97.35,97.54,97.54,97.73,97.82,98.11,97.92,98.11,98.11,98.11,98.11,85.82,89.41,89.60,89.39,89.22,89.20,89.20,89.20,89.20,89.20,89.22,90.17,90.06,89.96,90.17,89.60,89.41,89.79,89.79,89.60,89.98,89.98,93.18,91.87,92.23,92.23,87.90,87.90,87.90,87.90,88.09,88.09,88.09,88.09,88.45,88.45,88.07,88.28,88.28,88.28,88.28,88.26,88.26,88.28,89.68,89.60,89.60,89.60,89.60,89.41,89.60,89.60,90.17,89.98,89.98,90.17,90.17,89.98
B-LC514523,94.52,94.52,93.95,94.33,94.52,94.52,94.52,97.92,97.92,99.81,100.00,100.00,99.81,99.81,100.00,,99.43,99.43,99.43,99.24,99.43,99.43,97.16,97.16,97.73,98.49,97.35,98.68,98.68,98.68,98.30,98.30,98.68,98.68,98.68,98.68,98.68,98.68,98.68,98.87,98.11,98.11,98.11,98.11,98.11,97.73,97.54,97.54,97.54,97.54,97.73,97.73,97.73,96.98,96.98,97.16,97.16,97.16,97.06,97.35,97.73,97.54,97.73,97.54,97.35,97.16,97.35,97.54,97.54,97.73,97.54,97.35,97.54,97.54,97.73,97.82,98.11,97.92,98.11,98.11,98.11,98.11,85.82,89.41,89.60,89.39,89.22,89.20,89.20,89.20,89.20,89.20,89.22,90.17,90.06,89.96,90.17,89.60,89.41,89.79,89.79,89.60,89.98,89.98,93.18,91.87,92.23,92.23,87.90,87.90,87.90,87.90,88.09,88.09,88.09,88.09,88.45,88.45,88.07,88.28,88.28,88.28,88.28,88.26,88.26,88.28,89.68,89.60,89.60,89.60,89.60,89.41,89.60,89.60,90.17,89.98,89.98,90.17,90.17,89.98
B-LC086800,94.33,94.33,93.76,94.14,94.33,94.33,94.33,97.35,97.35,99.24,99.43,99.43,99.24,99.24,99.43,99.43,,99.62,99.62,99.43,99.62,99.62,96.60,96.60,97.54,97.92,96.79,98.11,98.11,98.11,97.73,97.73,98.11,98.11,98.11,98.11,98.11,98.11,98.11,98.30,97.54,97.54,97.54,97.54,97.54,97.16,96.98,96.98,96.97,96.98,97.16,97.16,97.16,96.41,96.41,96.60,96.60,96.60,96.50,96.79,97.16,96.98,97.16,96.97,96.79,96.60,96.79,96.98,96.98,97.16,96.98,96.79,96.98,96.98,97.16,97.25,97.54,97.35,97.54,97.54,97.54,97.54,86.01,88.85,89.04,88.83,88.66,88.64,88.64,88.64,88.64,88.64,88.66,89.60,89.49,89.39,89.60,89.04,88.85,89.22,89.22,89.04,89.41,89.26,92.61,91.30,91.67,91.67,88.09,88.09,87.90,88.09,88.28,88.28,88.28,88.28,88.64,88.64,88.26,88.47,88.47,88.47,88.47,88.45,88.45,88.47,89.49,89.41,89.41,89.41,89.41,89.22,89.41,89.41,89.98,89.79,89.79,89.98,89.98,89.79
B-LC086789,94.33,94.33,93.76,94.14,94.33,94.33,94.33,97.35,97.35,99.24,99.43,99.43,99.24,99.24,99.43,99.43,99.62,,100.00,99.81,99.62,99.62,96.60,96.60,97.54,97.92,96.79,98.11,98.11,98.11,97.73,97.73,98.11,98.11,98.11,98.11,98.11,98.11,98.11,98.30,97.54,97.54,97.54,97.54,97.54,97.16,96.98,96.98,96.97,96.98,97.16,97.16,97.16,96.41,96.41,96.60,96.60,96.60,96.50,96.79,97.16,96.98,97.16,96.97,96.79,96.60,96.79,96.98,96.98,97.16,96.98,96.79,96.98,96.98,97.16,97.25,97.54,97.35,97.54,97.54,97.54,97.54,86.39,88.85,89.04,88.83,88.66,88.64,88.64,88.64,88.64,88.64,88.66,89.60,89.49,89.39,89.60,89.04,88.85,89.22,89.22,89.04,89.41,89.26,92.61,91.30,91.67,91.67,88.09,88.09,87.90,88.09,88.28,88.28,88.28,88.28,88.64,88.64,88.26,88.47,88.47,88.47,88.47,88.45,88.45,88.47,89.87,89.79,89.79,89.79,89.79,89.60,89.79,89.79,90.36,90.17,90.17,90.36,90.36,90.17
B-LC086745,94.33,94.33,93.76,94.14,94.33,94.33,94.33,97.35,97.35,99.24,99.43,99.43,99.24,99.24,99.43,99.43,99.62,100.00,,99.81,99.62,99.62,96.60,96.60,97.54,97.92,96.79,98.11,98.11,98.11,97.73,97.73,98.11,98.11,98.11,98.11,98.11,98.11,98.11,98.30,97.54,97.54,97.54,97.54,97.54,97.16,96.98,96.98,96.97,96.98,97.16,97.16,97.16,96.41,96.41,96.60,96.60,96.60,96.50,96.79,97.16,96.98,97.16,96.97,96.79,96.60,96.79,96.98,96.98,97.16,96.98,96.79,96.98,96.98,97.16,97.25,97.54,97.35,97.54,97.54,97.54,97.54,86.39,88.85,89.04,88.83,88.66,88.64,88.64,88.64,88.64,88.64,88.66,89.60,89.49,89.39,89.60,89.04,88.85,89.22,89.22,89.04,89.41,89.26,92.61,91.30,91.67,91.67,88.09,88.09,87.90,88.09,88.28,88.28,88.28,88.28,88.64,88.64,88.26,88.47,88.47,88.47,88.47,88.45,88.45,88.47,89.87,89.79,89.79,89.79,89.79,89.60,89.79,89.79,90.36,90.17,90.17,90.36,90.36,90.17
B-PX212192,94.13,94.13,93.56,93.94,94.13,94.13,94.13,97.16,97.16,99.05,99.24,99.24,99.05,99.05,99.24,99.24,99.43,99.81,99.81,,99.43,99.43,96.40,96.40,97.35,97.73,96.59,97.92,97.92,97.92,97.54,97.54,97.92,97.92,97.92,97.92,97.92,97.92,97.92,98.11,97.35,97.35,97.35,97.35,97.35,96.97,96.78,96.78,96.78,96.78,96.97,96.97,96.97,96.21,96.21,96.40,96.40,96.40,96.31,96.59,96.97,96.78,96.97,96.78,96.59,96.40,96.59,96.78,96.78,96.97,96.78,96.59,96.78,96.78,96.97,97.06,97.35,97.54,97.35,97.35,97.35,97.35,86.55,89.02,89.20,89.02,88.83,88.83,88.83,88.83,88.83,88.83,88.83,89.77,89.30,89.20,89.39,89.20,89.02,89.39,89.39,89.20,89.58,89.50,92.42,91.10,91.48,91.48,88.26,88.26,88.07,88.26,88.45,88.45,88.45,88.45,88.83,88.83,88.45,88.64,88.64,88.64,88.64,88.64,88.64,88.26,89.68,89.58,89.58,89.58,89.58,89.39,89.58,89.58,90.15,89.96,89.96,90.15,90.15,89.96
B-LC086811,94.33,94.33,93.76,94.14,94.33,94.33,94.33,97.35,97.35,99.24,99.43,99.43,99.24,99.24,99.43,99.43,99.62,99.62,99.62,99.43,,99.62,96.60,96.60,97.54,97.92,96.79,98.11,98.11,98.11,97.73,97.73,98.11,98.11,98.11,98.11,98.11,98.11,98.11,98.30,97.54,97.54,97.54,97.54,97.54,97.16,96.98,96.98,96.97,96.98,97.16,97.16,97.16,96.41,96.41,96.60,96.60,96.60,96.50,96.79,97.16,96.98,97.16,96.97,96.79,96.60,96.79,96.98,96.98,97.16,96.98,96.79,96.98,96.98,97.16,97.25,97.54,97.35,97.54,97.54,97.54,97.54,86.39,88.85,89.04,88.83,88.66,88.64,88.64,88.64,88.64,88.64,88.66,89.60,89.49,89.39,89.60,89.04,89.04,89.22,89.22,89.04,89.41,89.26,92.61,91.30,91.67,91.67,88.09,88.09,87.90,88.09,88.28,88.28,88.28,88.28,88.64,88.64,88.26,88.47,88.47,88.47,88.47,88.45,88.45,88.66,89.49,89.41,89.41,89.41,89.41,89.22,89.41,89.41,89.98,89.79,89.79,89.98,89.98,89.79
